Player,Mitchell Report allegation,Post-report player response,Career status following report,Category
Howie Clark,"Radomski claimed he sold Clark four or five kits of human growth hormone and provided two money orders showing a $1,200 total transaction for one of the purchases. Clark declined interview.[27]",,,KirkRadomskiClients
Roger Clemens,"Interviews with José Canseco and trainer Brian McNamee stated that Clemens used human growth hormone, Deca-Durabolin, Winstrol, Sustanon, and possibly Anadrol, during the 1998, 2000, and 2001 MLB seasons, some of which he obtained through McNamee from Radomski. Radomski corroborated these allegations as far as to say that he sold performance-enhancing drugs to McNamee in amounts that were clearly for redistribution. Clemens declined interview.[28]","On December 18, Clemens (through his agent) denied taking steroids, human growth hormone, or any other banned substance(s) in his life. He stated that his opinion of such substances were ""a dangerous and destructive shortcut that no athlete should ever take."" Clemens said he would publicly address all of Mitchell's questions at the appropriate time.[29]",,KirkRadomskiClients
Jack Cust,Larry Bigbie claimed that Cust told him he tried steroids and had a source that could procure anything he wanted. Cust declined interview.[33],"In an interview on January 27, 2008 with Bay Area media, Cust denied ever using performance enhancing drugs. ""No. No. Not even one game"". ""He [Larry Bigbie] was a teammate of mine five years ago and we haven't talked since. I don't remember any conversations about [steroids]. He might have misinterpreted something I said, but I don't remember anything"".[34]",,KirkRadomskiClients
Brendan Donnelly,Radomski claimed he sold Deca-Durabolin to Donnelly on one occasion for $250 to $300. Donnelly declined interview.[35],"Donnelly admits contacting Radomski in 2004 regarding Anavar, hoping it would help him recover from injuries faster. But Donnelly denied ever buying or using the drug because he was made aware that it was considered a steroid.[36]",,KirkRadomskiClients
Chris Donnels,"Admitted to purchasing steroids and human growth hormone from Radomski. Radomski provided a number of checks from Donnels totaling $9,950.[37]",,,KirkRadomskiClients
Lenny Dykstra,"Radomski claimed he sold Deca-Durabolin, Dianabol and testosterone to Dykstra after the 1993 season. After 2000, Dykstra reportedly discussed his past steroid use with the Commissioner's Office. Dykstra declined interview.[38]",,,KirkRadomskiClients
Matt Franco,"Radomski claimed that he provided steroids for Franco in 2000. In a telephone interview with Mitchell, Franco denied ordering steroids or even knowing Radomski.[39]",,,KirkRadomskiClients
Ryan Franklin,"Radomski claimed that Franklin purchased Anavar and Deca-Durabolin from him through another Radomski client and then-Mariners teammate, Ron Villone. Franklin was suspended for ten games in May 2005 for testing positive for steroids. Franklin declined interview.[40]",,,KirkRadomskiClients
Eric Gagne,Radomski claimed he sold Gagné two kits of human growth hormone. Radomski provided a shipping receipt of a package Radomski sent to Gagné. The report also details that the Dodgers and Red Sox were aware of Gagné's possible use of performance-enhancing drugs. Gagné declined interview.[41],,,KirkRadomskiClients
Jason Grimsley,"Purchased human growth hormone, Deca-Durabolin, and diet pills from Radomski from 2000 through 2005. Radomski produced fourteen checks and cashier's checks showing the transactions, which totaled $35,400.[42]",,,KirkRadomskiClients
"Jerry Hairston, Jr.","A DEA investigation showed that Hairston received performance-enhancing substances from Ana Maria Santi, who later pled guilty to charges of illegally prescribing performance-enhancing drugs.[43] Records indicate that Hairston received shipments of Genotropin (human growth hormone), hCG, and clomiphene citrate in May 2004. Hairston denied these allegations.[44] Radomski provided a check from Hairston that he claims was for human growth hormone. Hairston declined interview.[45]",,,KirkRadomskiClients
Matt Herges,"Radomski provided a check from Herges for $3,240 that he claims was for two kits of human growth hormone. Herges declined interview.[46]","On February 13, 2008, Herges admitted to his HGH usage and apologized for it.[47]",,KirkRadomskiClients
Phil Hiatt,Radomski claimed he sold Hiatt human growth hormone and Deca-Durabolin two or three times. Hiatt declined interview.[48],,,KirkRadomskiClients
Glenallen Hill,"Purchased human growth hormone from Radomski in 2001. Radomski provided a check showing the $3,200 transaction. Hill, as a current employee of a ball club, was required to consent to an interview, in which he admitted to purchasing Sustanon from Radomski. Hill denied ever using the materials he purchased.[49]","On February 13, 2008, Hill admitted to his use of performance-enhancing substances late in his career and subsequently apologized for using them.[47]",,KirkRadomskiClients
Todd Hundley,"Radomski claimed he sold Deca-Durabolin and testosterone to Hundley on three or four occasions, and the player's contact information was found in his address book. Chris Donnels confirmed that Hundley discussed his use of performance-enhancing drugs with him. Hundley declined interview.[50]",,,KirkRadomskiClients
David Justice,"Radomski claimed he sold two or three kits of human growth hormone to Justice. Brian McNamee confirmed that Justice admitted to him that he obtained human growth hormone from Radomski. In an interview prior to the surfacing of these allegations, Justice denied having used performance enhancing drugs. After the allegations, Justice did not respond to requests for interview.[51]","After the Mitchell Report report was released, Justice appeared on ESPN Radio's The Herd, and stated that McNamee encouraged him to use human growth hormone in 2000, but he declined, saying he did not like needles. Justice also stated that he had never met Radomski.[52] He also appeared on The Michael Kay Show on 1050 ESPN New York and claimed he never received any requests to be interviewed before the report was released, possibly due to the fact that he had switched cell phone numbers a few times since initially speaking to Mitchell investigators.[53]",,KirkRadomskiClients
Chuck Knoblauch,"Brian McNamee claimed he obtained human growth hormone from Radomski, which he provided and injected Knoblauch with seven to nine times. Knoblauch paid Radomski through Jason Grimsley and McNamee. Knoblauch declined interview.[54]","On January 11, 2008, Knoblauch made his first public statement about his inclusion in the Mitchell Report. As he has been retired for 5 years, he expressed ""bewilderment at his inclusion"" in the report and stated that ""I have nothing to defend and I have nothing to hide at the same time.""[55][56]",,KirkRadomskiClients
Tim Laker,"As a current ball club employee, Laker was required to consent to an interview, in which he admitted to purchasing Deca-Durabolin and testosterone from Radomski from 1995 to 1999.[58]","In March 2008, Laker admitted regretting his decision to take performance enhancing drugs stating ""I made a poor decision, a mistake, and all I can do is ask for forgiveness and move on.""[59]",,KirkRadomskiClients
Mike Lansing,"Purchased testosterone and one kit of human growth hormone from Radomski. Radomski provided two money orders showing the $2,000 total transaction. Lansing declined interview.[60]",,,KirkRadomskiClients
Paul Lo Duca,"Purchased six kits of human growth hormone from Radomski. Radomski provided three checks showing transactions of $3,200 each, which Radomski says were each for two kits of human growth hormone. Lo Duca declined interview.[2][61]",,,KirkRadomskiClients
Nook Logan,"Radomski claimed he sold one kit of human growth hormone to Logan in 2005, after a referral from Rondell White. Logan declined interview.[62]",,,KirkRadomskiClients
Josias Manzanillo,"Radomski claimed he injected Manzanillo with Deca-Durabolin while with the New York Mets. He denied ever selling steroids to Manzanillo. Manzanillo, in a statement submitted to Mitchell, admitted to making one purchase of steroids from Radomski, but denied ever using them.[63]",,,KirkRadomskiClients
Cody McKay,Radomski claimed he sold steroids to McKay on at least two occasions. McKay declined interview.[64],,,KirkRadomskiClients
Kent Mercker,"Radomski claimed he sold human growth hormone to Mercker in 2002. Radomski provided a check from Mercker for $1,600 and a shipping receipt. Mercker declined interview.[65]",,,KirkRadomskiClients
Bart Miadich,"Radomski claimed he frequently sold small quantities of testosterone and Winstrol to Miadich from 2002 through 2005, after a referral from Adam Riggs. In his interview with Mitchell, Chad Allen stated that Miadich frequently suffered from ""roid rage"". Miadich did not reply to interview requests.[66]",,,KirkRadomskiClients
Hal Morris,"Radomski claimed he sold Deca-Durabolin and testosterone to Morris in 1999. Morris, in a statement submitted to Mitchell, denied ever using performance-enhancing drugs.[67]",,,KirkRadomskiClients
Denny Neagle,Radomski claimed he sold human growth hormone and steroids to Neagle five or six times between 2000 and 2004. Radomski produced eight checks that were either from Neagle or he claimed were sent to him on Neagle's behalf. Neagle declined interview.[68],,,KirkRadomskiClients
Jim Parque,"Radomski claimed that he twice sold human growth hormone to Parque and once ""check(ed) out"" a sample of Winstrol sent to him by Parque. Radomski produced two checks from Parque totalling $4,800. Parque declined interview.[69]","In an Chicago Sun-Times interview that took place on July, 2009, Parque admitted using HGH, as he explained that """"With my career in jeopardy, I turned to performance-enhancing drugs, like some other players did"", Parque wrote for the Sun-Times. ""I never had needed them before, but with a shoulder that wouldn't heal, it was realistically the only thing I could turn to."".",,KirkRadomskiClients
Andy Pettitte,"Brian McNamee, who obtained performance-enhancing drugs from Radomski, claimed that he provided Pettitte with human growth hormone in 2002. He also claimed that he injected Pettitte with HGH two to four times while assisting Pettitte with his rehabilitation from an elbow injury. Pettitte declined interview.[71]","After the Mitchell Report was made public, Pettitte released a statement admitting his use of human growth hormone on two occasions in 2002, which he says was only intended to accelerate his recovery from an elbow injury.[72]",,KirkRadomskiClients
Adam Piatt,"Admitted to purchasing human growth hormone and testosterone from Radomski in 2002 and 2003. Radomski produced eight checks from Piatt totaling $11,550.[73]",,,KirkRadomskiClients
Todd Pratt,Radomski claimed he sold steroids to Pratt once or twice in 2000 or 2001. Pratt did not respond to interview requests.[74],,,KirkRadomskiClients
Stephen Randolph,Radomski claimed he sold human growth hormone to Randolph in 2003 or 2004. Randolph declined interview.[75],,,KirkRadomskiClients
Adam Riggs,"Radomski claimed he sold human growth hormone, clenbuterol, and Winstrol to Riggs from 2003 to 2005. Radomski produced four checks totaling $1,150 and one check whose amount was illegible. Riggs, in a letter from his lawyer, stated that he never tested positive for performance-enhancing drugs.[76]",,,KirkRadomskiClients
Brian Roberts,Larry Bigbie stated that Roberts admitted to him that he used steroids. Roberts declined interview.[77],"In an interview with the Baltimore Sun, Roberts admitted to once using steroids in 2003. He stated that it was a ""terrible decision"" and claimed he has not used performance-enhancing drugs since.[78]",,KirkRadomskiClients
F.P. Santangelo,"Radomski claimed he sold one kit of human growth hormone to Santangelo in 2000. Radomski produced one check showing the $1,400 transaction. Radomski also claims to have sold Deca-Durabolin and testosterone to Santangelo in 2001. Adam Piatt also stated that Santangelo provided Piatt with Radomski's contact information when Piatt asked where he could get performance-enhancing substances. Santangelo declined interview.[79]","After the Mitchell Report was made public, Santangelo admitted to using human growth hormone. He denied ever using or purchasing steroids from Radomski.[80]",,KirkRadomskiClients
David Segui,"Radomski claimed he sold Deca-Durabolin to Segui. Radomski produced six checks showing the transactions. Radomski also claimed that Segui was receiving human growth hormone from a doctor in Florida because of a growth hormone deficiency. Segui, in a telephone interview with Mitchell, acknowledged his relationship with Radomski, and declined to be interviewed in person. He also made his use of the substances public in a statement to ESPN in 2006.[81]",,,KirkRadomskiClients
Mike Stanton,"Radomski claimed he met Stanton around 2001 and then sold him three kits of human growth hormone in 2003, which he either mailed to the player or dropped off at his locker. Stanton declined interview.[82]","After the Mitchell Report was made public, Stanton released a statement flatly denying his purchase of human growth hormone. ""I've done absolutely nothing wrong"", Stanton told MLB.com in a statement by phone. ""I've never met Radomski and couldn't even pick him out of a lineup. The reports are outrageous and unfair.""[83]",,KirkRadomskiClients
Miguel Tejada,"During his interview with Mitchell, Adam Piatt claimed that he obtained Deca-Durabolin or testosterone, as well as human growth hormone from Radomski for Tejada. Piatt produced checks from Tejada totalling $6,300. Radomski confirmed the sale to Piatt and claimed that Piatt said the purchases were for Tejada, but Radomski stated that he never sold directly to Tejada. Tejada declined interview.[84]",,,KirkRadomskiClients
Mo Vaughn,"Radomski claimed he sold human growth hormone to Vaughn, for which Radomski produced three checks totaling $8,600. Vaughn declined interview.[85]",,,KirkRadomskiClients
Ron Villone,Radomski claimed he sold six kits of human growth hormone to Villone from 2004–2005. Villone's contact information was found in Radomski's address book. Villone declined interview.[86],,,KirkRadomskiClients
Fernando Vina,"Radomski claimed he sold human growth hormone, Winstrol, and Deca-Durabolin to Viña from 2000–2005. Radomski produced three checks showing some of the transactions. Viña did not respond to interview requests.[87]","In an ESPN interview that took place on December 17, 2007, Viña admitted using HGH in 2003 to heal injuries, as he explained that ""everything rehabbing"" did not work and he was ""desperate"". Viña feels ""embarrassed"", and denies any claims of buying steroids from Radomski.[21]",,KirkRadomskiClients
Rondell White,Radomski claimed he sold human growth hormone and Deca-Durabolin to White from 2000 to at least 2005. Radomski provided seven checks showing some of the transactions. White declined interview.[88],,,KirkRadomskiClients
Jeff Williams,"Radomski claimed he sold Anavar and Dianabol to Williams in 2004. Radomski produced a check from Williams for $1,820. Williams did not respond to interview requests.[89]","According to Hanshin Tigers club president Nobuo Minami ""He (Williams) flatly denied the use of any banned substances and said he is ready to accept fresh checkups at any time.""[90]",,KirkRadomskiClients
Todd Williams,Radomski claimed he sold Winstrol to Williams once in 2001. Williams did not respond to interview requests.[91],,,KirkRadomskiClients
Kevin Young,Radomski claimed he sold human growth hormone to Young multiple times between 2000 and 2003. Young did not respond to interview requests.[92],,,KirkRadomskiClients
Gregg Zaun,"Radomski claimed he sold Deca-Durabolin and Winstrol to Zaun in 2001, after a referral from Jason Grimsley. Radomski produced a check from Zaun for $500. Mitchell also explained that former Montreal Expos bullpen catcher Luis Perez claimed to have supplied Zaun with steroids in 2002. Zaun declined interview.[93]",,,KirkRadomskiClients
Rick Ankiel,"In a September 2007 article, the New York Daily News reported that Ankiel received eight shipments of human growth hormone from Signature Pharmacy in 2004. According to the article, Ankiel received a prescription from a doctor at a Florida anti-aging clinic. In September 2007, Ankiel admitted to using HGH, though claimed that he did so legally under a doctor's care. Ankiel met with the Commissioner's Office regarding this situation, and Commissioner Bud Selig did not impose any discipline.[94]",,,SignaturePharmacy
David Bell,"In a March 2007 article, Sports Illustrated reported that Bell received six shipments of human chorionic gonadotropin (hCG) in 2005 from Applied Pharmacy Services of Alabama. According to the article, Bell received a prescription from an Arizona anti-aging clinic. Bell acknowledged to SI that he received the hCG and stated that they were issued under a valid prescription.[95]",,,SignaturePharmacy
Paul Byrd,"In an October 2007 article, the San Francisco Chronicle reported that Byrd had received at least thirteen shipments of human growth hormone between 2002 and 2005 worth approximately $25,000 from a Florida anti-aging clinic. In response to the article, which was printed the same day that Byrd and the Cleveland Indians played the Boston Red Sox in Game 7 of the 2007 American League Championship Series, Byrd stated that the HGH was legally prescribed for a pituitary disorder (it was later discovered that the prescribing doctor was an unlicensed dentist). Byrd also stated that he had notified Major League Baseball of this condition and that he had received permission to use HGH. Major League Baseball denied receiving such notice and stated that MLB has never given a player permission to use HGH.[96]",,,SignaturePharmacy
Jose Canseco,"In a March 2007 article, Sports Illustrated reported that Canseco received shipments of human growth hormone, testosterone, stanozolol, human chorionic gonadotropin, and 340 syringes from Applied Pharmacy Services of Alabama. According to the article, Canseco had received a prescription for these materials from a Florida anti-aging clinic. In a telephone interview with Canseco's attorney, Canseco confirmed these purchases to Mitchell.[97]",,,SignaturePharmacy
Jay Gibbons,"In a September 2007 article, Sports Illustrated reported that Gibbons received several shipments of human growth hormone, testosterone, and human chorionic gonadotropin from Signature Pharmacy from 2003 to 2005. According to the article, Gibbons received a prescription for these materials from a Florida anti-aging clinic. One of Gibbons' prescribing doctors, Ana Maria Santi, pled guilty to federal and state charges of illegally prescribing performance-enhancing drugs. Gibbons met with the Commissioner's Office regarding this situation, and Commissioner Bud Selig suspended Gibbons for the first 15 days of the 2008 season. After receiving the suspension, Gibbons acknowledged and apologized for his use of performance-enhancing drugs.[98]",,,SignaturePharmacy
Troy Glaus,"In a September 2007 article, Sports Illustrated reported that Glaus received shipments of nandrolone and testosterone from Signature Pharmacy from 2003 to 2004. According to the article, Glaus had received a prescription for these materials from a California anti-aging clinic. One of Glaus' prescribing doctors, Ramon Scruggs, had his medical license suspended for making illegal prescriptions. Glaus met with the Commissioner's Office regarding this situation, and Commissioner Bud Selig did not impose any discipline.[99]",,,SignaturePharmacy
Jason Grimsley,"Grimsley was identified during a federal investigation as a Signature Pharmacy customer who had received human growth hormone. After a raid on his home, Grimsley has cooperated with federal investegators. Grimsley indicated to investegators that he was referred to a Florida anti-aging clinic by former teammate David Segui.[100]",,,SignaturePharmacy
Jose Guillen,"In a November 2007 article, the San Francisco Chronicle reported that Guillén had received numerous shipments of human growth hormone, testosterone, nandrolone, stanozolol, clomiphene, Novarel (a brand of hCG) and syringes between 2002 and 2005 from a Florida anti-aging clinic. According to the article, at least one of Guillén's prescriptions was issued by the same unlicensed dentist that prescribed HGH to Paul Byrd. Guillén met with the Commissioner's Office regarding this situation, and Commissioner Bud Selig suspended Guillén for the first 15 days of the 2008 season. Guillén has since appealed his suspension.[101]",,,SignaturePharmacy
"Jerry Hairston, Jr.","A DEA investigation showed that Hairston received performance-enhancing substances from Applied Pharmacy in Alabama. The prescribing doctor, Ana Maria Santi, later pled guilty to federal and state charges of illegally prescribing performance-enhancing drugs. Records indicate that Hairston received shipments of Genotropin (human growth hormone), human chorionic gonadotropin, and clomiphene citrate in May 2004. Hairston denied these allegations.[44]",,,SignaturePharmacy
Darren Holmes,"In a March 2007 article, Sports Illustrated reported that Holmes received a shipment of human growth hormone and testosterone in 2003 from a Florida anti-aginc clinic. Holmes admitted purchasing the HGH and stated that while he received the testosterone, he did not order it. Holmes also denied ever using the HGH.[102]",,,SignaturePharmacy
"Gary Matthews, Jr.","In a February 2007 article, the Albany Times Union reported that Matthews received a shipment of human growth hormone in 2004 from Applied Pharmacy Services of Alabama. According to the article, Matthews received a prescription from a Florida anti-aging clinic. After the article's release, Matthews denied ever using HGH. Chad Allen, during his interview with Mitchell, claimed that he had found unused syringes after Matthews had moved out of Allen's Dallas apartment. Allen lent the apartment to Matthews during the 2004 season. Matthews met with the Commissioner's Office regarding this situation, and Commissioner Bud Selig did not impose any discipline.[103]",,,SignaturePharmacy
John Rocker,"In a March 2007 article, Sports Illustrated reported that Rocker received two shipments of human growth hormone in 2003 from Applied Pharmacy Services of Alabama. After an initial denial, Rocker acknowledged that he received the HGH under a valid prescription.[104]",,,SignaturePharmacy
Scott Schoeneweis,"In October 2007, ESPN reported that Schoeneweis received shipments of steroids, including stanozolol and testosterone from Signature Pharmacy from 2003 to 2004. According to the article, Schoeneweis spent $1,160 on the substances. Schoeneweis' prescribing doctor, Ramon Scruggs (who was also named in the allegations surrounding Troy Glaus), had his medical license suspended for making illegal prescriptions. Schoeneweis met with the Commissioner's Office regarding this situation, and Commissioner Bud Selig did not impose any discipline.[105]",,,SignaturePharmacy
Ismael Valdez,"In a November 2007 article, the San Francisco Chronicle reported that Valdéz received a shipments of human growth hormone, Novarel (a brand of hCG), clomiphene and Arimidex in 2002 from a Florida anti-aging clinic. According to the article, Valdéz received a prescription from the same unlicensed dentist implicated in the situations surrounding Paul Byrd, José Guillén and Matt Williams.[106]",,,SignaturePharmacy
Matt Williams,"In a November 2007 article, the San Francisco Chronicle reported that Williams received shipments of human growth hormone, testosterone, Novarel, clomiphene, nandrolone and syringes in 2002 from a Florida anti-aging clinic. According to the article, Williams received a prescription from the same unlicensed dentist implicated in the situations surrounding Paul Byrd, José Guillén and Ismael Valdéz. According to the article, Williams admitted to being prescribed HGH after undergoing a number of medical tests. He did not address the use or purchase of other steroids and denied knowing the dentist who supplied his prescriptions.[107]",,,SignaturePharmacy
Steve Woodard,"In a September 2007 article, the New York Daily News reported that Woodard received a shipment of human growth hormone and steroids from a Florida anti-aging clinic. The article did not specify when that shipment occurred.[108]",,,SignaturePharmacy
Daniel Naulty,Naulty expressed remorse for his admitted use of steroid and human growth hormone over several years as a player in both the major league and the minor leagues during a telephone interview with Mitchell Report investigators.[109],,,DirectInterview
Wally Joyner,"In an interview for this investigation, Joyner told us that he struggled with the decision whether to try steroids, but eventually he decided to use them. After taking the drugs three times, Joyner decided that he had made a mistake, discarded the rest of the pills, and never tried illegal performance enhancing substances again.[110]",,,DirectInterview
Manny Alexander,"On June 30, 2000, police discovered steroids and two hypodermic needles in the glove box of Alexander's vehicle. Alexander had loaned the vehicle to a clubhouse employee of the Red Sox, Carlos Cowart, and Cowart and a friend of his were sitting in the parked vehicle when the officers approached, in the belief that the vehicle might have been stolen.[111]",,,Other
Ricky Bones,"In June 2000, a clubhouse attendant with the Florida Marlins discovered syringes and two kinds of steroids (stanozolol and nandrolone decanoate) in a paper bag inside Bones's locker. When questioned by Mitchell, Bones admitted that he had procured the steroids from a doctor in his native Puerto Rico and then administered them to himself.[112]",,,Other
Alex Cabrera,"In September 2003, a package intended for Cabrera was delivered to the Arizona Diamondbacks' clubhouse. Clubhouse attendants reported the package to the trainers and told Cabrera the package was lost. League officials tested the contents of the package and discovered it contained anabolic steroids (Winstrol) and over-the-counter diet pills. Through investigation of the package, Major League Baseball discovered that ""players with the El Paso Diablos, a minor league affiliate of the Diamondbacks, regularly crossed the border into Mexico to purchase steroids."" Cabrera was unable to be tested regarding the package,[113] but denied ever having used steroids after the report was released.[114]",,,Other
Paxton Crawford,"Crawford admitted to using human growth hormone and steroids while playing for the Boston Red Sox in 2001 and 2002. In an article in ESPN The Magazine, Crawford recounted an incident where syringes had fallen on the floor of the locker room, causing other players to laugh. Crawford declined to be interviewed for the Mitchell investigation stating he did not ""do that stuff anymore."" Other Red Sox players deny the syringe-dropping incident ever happened.[115]",,,Other
Juan Gonzalez,[116],,,Other
Mike Judd,"Around May 1999, Todd Seyler, a minor league strength and conditioning coach began to speak to players including Judd about performance enhancing drugs. Seyler stated that the players were to give money to Matt Herges or Paul Lo Duca, so they could purchase steroids. Seyler recalled that he had observed Judd inject himself with either Deca-Durabolin or Winstrol in July 1999. Seyler believed Judd continued to use the steroid for the next six weeks, based on conversations with him. Judd did not respond to a request to interview with Mitchell.[117]",,,Other
Ricky Stone,[117],,,Other
