Year,Rk,Name,YoB,Votes,NumBallots,pct,active
2012,25,Brian Jordan,1,0,573,0,0
2012,26,Ruben Sierra,1,0,573,0,0
2012,27,Jeromy Burnitz,1,0,573,0,0
2011,1,Roberto Alomar,2,523,581,90.02,0
2011,2,Bert Blyleven,14,463,581,79.69,0
2011,3,Barry Larkin,2,361,581,62.13,0
2011,4,Jack Morris,12,311,581,53.53,0
2011,5,Lee Smith,9,263,581,45.27,0
2011,6,Jeff Bagwell,1,242,581,41.65,0
2011,7,Tim Raines,4,218,581,37.52,0
2011,8,Edgar Martinez,2,191,581,32.87,0
2011,9,Alan Trammell,10,141,581,24.27,0
2011,10,Larry Walker,1,118,581,20.31,0
2011,11,Mark McGwire,5,115,581,19.79,0
2011,12,Fred McGriff,2,104,581,17.9,0
2011,13,Dave Parker,15,89,581,15.32,0
2011,14,Don Mattingly,11,79,581,13.6,0
2011,15,Dale Murphy,13,73,581,12.56,0
2011,16,Rafael Palmeiro,1,64,581,11.02,0
2011,17,Juan Gonzalez,1,30,581,5.16,0
2011,18,Harold Baines,5,28,581,4.82,0
2011,19,John Franco,1,27,581,4.65,0
2011,20,Kevin Brown,1,12,581,2.07,0
2011,21,Tino Martinez,1,6,581,1.03,0
2011,22,John Olerud,1,4,581,0.69,0
2011,23,Al Leiter,1,4,581,0.69,0
2011,24,Marquis Grissom,1,4,581,0.69,0
2011,25,B.J. Surhoff,1,2,581,0.34,0
2011,26,Bret Boone,1,1,581,0.17,0
2011,27,Benito Santiago,1,1,581,0.17,0
2011,28,Lenny Harris,1,0,581,0,0
2011,29,Bobby Higginson,1,0,581,0,0
2011,30,Charles Johnson,1,0,581,0,0
2011,31,Raul Mondesi,1,0,581,0,0
2011,32,Carlos Baerga,1,0,581,0,0
2011,33,Kirk Rueter,1,0,581,0,0
2010,1,Andre Dawson,9,420,539,77.92,0
2010,2,Bert Blyleven,13,400,539,74.21,0
2010,3,Roberto Alomar,1,397,539,73.65,0
2010,4,Jack Morris,11,282,539,52.32,0
2010,5,Barry Larkin,1,278,539,51.58,0
2010,6,Lee Smith,8,255,539,47.31,0
2010,7,Edgar Martinez,1,195,539,36.18,0
2010,8,Tim Raines,3,164,539,30.43,0
2010,9,Mark McGwire,4,128,539,23.75,0
2010,10,Alan Trammell,9,121,539,22.45,0
2010,11,Fred McGriff,1,116,539,21.52,0
2010,12,Don Mattingly,10,87,539,16.14,0
2010,13,Dave Parker,14,82,539,15.21,0
2010,14,Dale Murphy,12,63,539,11.69,0
2010,15,Harold Baines,4,33,539,6.12,0
2010,16,Andres Galarraga,1,22,539,4.08,0
2010,17,Robin Ventura,1,7,539,1.3,0
2010,18,Eric Karros,1,2,539,0.37,0
2010,19,Ellis Burks,1,2,539,0.37,0
2010,20,Kevin Appier,1,1,539,0.19,0
2010,21,David Segui,1,1,539,0.19,0
2010,22,Pat Hentgen,1,1,539,0.19,0
2010,23,Shane Reynolds,1,0,539,0,0
2010,24,Michael Jackson,1,0,539,0,0
2010,25,Ray Lankford,1,0,539,0,0
2010,26,Todd Zeile,1,0,539,0,0
2009,1,Rickey Henderson,1,511,539,94.81,0
2009,2,Jim Rice,15,412,539,76.44,0
2009,3,Andre Dawson,8,361,539,66.98,0
2009,4,Bert Blyleven,12,338,539,62.71,0
2009,5,Lee Smith,7,240,539,44.53,0
2009,6,Jack Morris,10,237,539,43.97,0
2009,7,Tommy John,15,171,539,31.73,0
2009,8,Tim Raines,2,122,539,22.63,0
2009,9,Mark McGwire,3,118,539,21.89,0
2009,10,Alan Trammell,8,94,539,17.44,0
2009,11,Dave Parker,13,81,539,15.03,0
2009,12,Don Mattingly,9,64,539,11.87,0
2009,13,Dale Murphy,11,62,539,11.5,0
2009,14,Harold Baines,3,32,539,5.94,0
2009,15,Mark Grace,1,22,539,4.08,0
2009,16,David Cone,1,21,539,3.9,0
2009,17,Matt Williams,1,7,539,1.3,0
2009,18,Mo Vaughn,1,6,539,1.11,0
2009,19,Jay Bell,1,2,539,0.37,0
2009,20,Jesse Orosco,1,1,539,0.19,0
2009,21,Ron Gant,1,0,539,0,0
2009,22,Greg Vaughn,1,0,539,0,0
2009,23,Dan Plesac,1,0,539,0,0
2008,1,Rich Gossage,9,466,543,85.82,0
2008,2,Jim Rice,14,392,543,72.19,0
2008,3,Andre Dawson,7,358,543,65.93,0
2008,4,Bert Blyleven,11,336,543,61.88,0
2008,5,Lee Smith,6,235,543,43.28,0
2008,6,Jack Morris,9,233,543,42.91,0
2008,7,Tommy John,14,158,543,29.1,0
2008,8,Tim Raines,1,132,543,24.31,0
2008,9,Mark McGwire,2,128,543,23.57,0
2008,10,Alan Trammell,7,99,543,18.23,0
2008,11,Dave Concepcion,15,88,543,16.21,0
2008,12,Don Mattingly,8,86,543,15.84,0
2008,13,Dave Parker,12,82,543,15.1,0
2008,14,Dale Murphy,10,75,543,13.81,0
2008,15,Harold Baines,2,28,543,5.16,0
2008,16,Robb Nen,1,2,543,0.37,0
2008,17,Travis Fryman,1,2,543,0.37,0
2008,18,Rod Beck,1,2,543,0.37,0
2008,19,Todd Stottlemyre,1,1,543,0.18,0
2008,20,David Justice,1,1,543,0.18,0
2008,21,Chuck Knoblauch,1,1,543,0.18,0
2008,22,Shawon Dunston,1,1,543,0.18,0
2008,23,Chuck Finley,1,1,543,0.18,0
2008,24,Brady Anderson,1,0,543,0,0
2008,25,Jose Rijo,2,0,543,0,0
2007,1,Cal Ripken,1,537,545,98.53,0
2007,2,Tony Gwynn,1,532,545,97.61,0
2007,3,Rich Gossage,8,388,545,71.19,0
2007,4,Jim Rice,13,346,545,63.49,0
2007,5,Andre Dawson,6,309,545,56.7,0
2007,6,Bert Blyleven,10,260,545,47.71,0
2007,7,Lee Smith,5,217,545,39.82,0
2007,8,Jack Morris,8,202,545,37.06,0
2007,9,Mark McGwire,1,128,545,23.49,0
2007,10,Tommy John,13,125,545,22.94,0
2007,11,Steve Garvey,15,115,545,21.1,0
2007,12,Dave Concepcion,14,74,545,13.58,0
2007,13,Alan Trammell,6,73,545,13.39,0
2007,14,Dave Parker,11,62,545,11.38,0
2007,15,Don Mattingly,7,54,545,9.91,0
2007,16,Dale Murphy,9,50,545,9.17,0
2007,17,Harold Baines,1,29,545,5.32,0
2007,18,Orel Hershiser,2,24,545,4.4,0
2007,19,Albert Belle,2,19,545,3.49,0
2007,20,Paul O'Neill,1,12,545,2.2,0
2007,21,Bret Saberhagen,1,7,545,1.28,0
2007,22,Jose Canseco,1,6,545,1.1,0
2007,23,Tony Fernandez,1,4,545,0.73,0
2007,24,Dante Bichette,1,3,545,0.55,0
2007,25,Eric Davis,1,3,545,0.55,0
2007,26,Ken Caminiti,1,2,545,0.37,0
2007,27,Bobby Bonilla,1,2,545,0.37,0
2007,28,Jay Buhner,1,1,545,0.18,0
2007,29,Devon White,1,0,545,0,0
2007,30,Scott Brosius,1,0,545,0,0
2007,31,Wally Joyner,1,0,545,0,0
2007,32,Bobby Witt,1,0,545,0,0
2006,1,Bruce Sutter,13,400,520,76.92,0
2006,2,Jim Rice,12,337,520,64.81,0
2006,3,Rich Gossage,7,336,520,64.62,0
2006,4,Andre Dawson,5,317,520,60.96,0
2006,5,Bert Blyleven,9,277,520,53.27,0
2006,6,Lee Smith,4,234,520,45,0
2006,7,Jack Morris,7,214,520,41.15,0
2006,8,Tommy John,12,154,520,29.62,0
2006,9,Steve Garvey,14,135,520,25.96,0
2006,10,Alan Trammell,5,92,520,17.69,0
2006,11,Dave Parker,10,76,520,14.62,0
2006,12,Dave Concepcion,13,65,520,12.5,0
2006,13,Don Mattingly,6,64,520,12.31,0
2006,14,Orel Hershiser,1,58,520,11.15,0
2006,15,Dale Murphy,8,56,520,10.77,0
2006,16,Albert Belle,1,40,520,7.69,0
2006,17,Will Clark,1,23,520,4.42,0
2006,18,Dwight Gooden,1,17,520,3.27,0
2006,19,Willie McGee,2,12,520,2.31,0
2006,20,Ozzie Guillen,1,5,520,0.96,0
2006,21,Hal Morris,1,5,520,0.96,0
2006,22,Gary Gaetti,1,4,520,0.77,0
2006,23,John Wetteland,1,4,520,0.77,0
2006,24,Rick Aguilera,1,3,520,0.58,0
2006,25,Gregg Jefferies,1,2,520,0.38,0
2006,26,Doug Jones,1,2,520,0.38,0
2006,27,Walt Weiss,1,1,520,0.19,0
2006,28,Gary Disarcina,1,0,520,0,0
2006,29,Alex Fernandez,1,0,520,0,0
2005,1,Wade Boggs,1,474,516,91.86,0
2005,2,Ryne Sandberg,3,393,516,76.16,0
2005,3,Bruce Sutter,12,344,516,66.67,0
2005,4,Jim Rice,11,307,516,59.5,0
2005,5,Rich Gossage,6,285,516,55.23,0
2005,6,Andre Dawson,4,270,516,52.33,0
2005,7,Bert Blyleven,8,211,516,40.89,0
2005,8,Lee Smith,3,200,516,38.76,0
2005,9,Jack Morris,6,172,516,33.33,0
2005,10,Tommy John,11,123,516,23.84,0
2005,11,Steve Garvey,13,106,516,20.54,0
2005,12,Alan Trammell,4,87,516,16.86,0
2005,13,Dave Parker,9,65,516,12.6,0
2005,14,Don Mattingly,5,59,516,11.43,0
2005,15,Dave Concepcion,12,55,516,10.66,0
2005,16,Dale Murphy,7,54,516,10.47,0
2005,17,Willie McGee,1,26,516,5.04,0
2005,18,Jim Abbott,1,13,516,2.52,0
2005,19,Darryl Strawberry,1,6,516,1.16,0
2005,20,Jack McDowell,1,4,516,0.78,0
2005,21,Chili Davis,1,3,516,0.58,0
2005,22,Tom Candiotti,1,2,516,0.39,0
2005,23,Jeff Montgomery,1,2,516,0.39,0
2005,24,Terry Steinbach,1,1,516,0.19,0
2005,25,Tony Phillips,1,1,516,0.19,0
2005,26,Mark Langston,1,0,516,0,0
2005,27,Otis Nixon,1,0,516,0,0
2004,1,Paul Molitor,1,431,506,85.18,0
2004,2,Dennis Eckersley,1,421,506,83.2,0
2004,3,Ryne Sandberg,2,309,506,61.07,0
2004,4,Bruce Sutter,11,301,506,59.49,0
2004,5,Jim Rice,10,276,506,54.55,0
2004,6,Andre Dawson,3,253,506,50,0
2004,7,Rich Gossage,5,206,506,40.71,0
2004,8,Lee Smith,2,185,506,36.56,0
2004,9,Bert Blyleven,7,179,506,35.38,0
2004,10,Jack Morris,5,133,506,26.28,0
2004,11,Steve Garvey,12,123,506,24.31,0
2004,12,Tommy John,10,111,506,21.94,0
2004,13,Alan Trammell,3,70,506,13.83,0
2004,14,Don Mattingly,4,65,506,12.85,0
2004,15,Dave Concepcion,11,57,506,11.26,0
2004,16,Dave Parker,8,53,506,10.47,0
2004,17,Dale Murphy,6,43,506,8.5,0
2004,18,Keith Hernandez,9,22,506,4.35,0
2004,19,Joe Carter,1,19,506,3.75,0
2004,20,Fernando Valenzuela,2,19,506,3.75,0
2004,21,Dennis Martinez,1,16,506,3.16,0
2004,22,Dave Stieb,1,7,506,1.38,0
2004,23,Jimmy Key,1,3,506,0.59,0
2004,24,Jim Eisenreich,1,3,506,0.59,0
2004,25,Kevin Mitchell,1,2,506,0.4,0
2004,26,Juan Samuel,1,2,506,0.4,0
2004,27,Doug Drabek,1,2,506,0.4,0
2004,28,Randy Myers,1,1,506,0.2,0
2004,29,Cecil Fielder,1,1,506,0.2,0
2004,30,Terry Pendleton,1,1,506,0.2,0
2004,31,Danny Darwin,1,0,506,0,0
2004,32,Bob Tewksbury,1,0,506,0,0
2003,1,Eddie Murray,1,423,496,85.28,0
2003,2,Gary Carter,6,387,496,78.02,0
2003,3,Bruce Sutter,10,266,496,53.63,0
2003,4,Jim Rice,9,259,496,52.22,0
2003,5,Andre Dawson,2,248,496,50,0
2003,6,Ryne Sandberg,1,244,496,49.19,0
2003,7,Lee Smith,1,210,496,42.34,0
2003,8,Rich Gossage,4,209,496,42.14,0
2003,9,Bert Blyleven,6,145,496,29.23,0
2003,10,Steve Garvey,11,138,496,27.82,0
2003,11,Jim Kaat,15,130,496,26.21,0
2003,12,Tommy John,9,116,496,23.39,0
2003,13,Jack Morris,4,113,496,22.78,0
2003,14,Alan Trammell,2,70,496,14.11,0
2003,15,Don Mattingly,3,68,496,13.71,0
2003,16,Dale Murphy,5,58,496,11.69,0
2003,17,Dave Concepcion,10,55,496,11.09,0
2003,18,Dave Parker,7,51,496,10.28,0
2003,19,Fernando Valenzuela,1,31,496,6.25,0
2003,20,Keith Hernandez,8,30,496,6.05,0
2003,21,Darryl Kile,1,7,496,1.41,0
2003,22,Vince Coleman,1,3,496,0.6,0
2003,23,Rick Honeycutt,1,2,496,0.4,0
2003,24,Brett Butler,1,2,496,0.4,0
2003,25,Sid Fernandez,1,2,496,0.4,0
2003,26,Tony Pena,1,2,496,0.4,0
2003,27,Darren Daulton,1,1,496,0.2,0
2003,28,Mark Davis,1,1,496,0.2,0
2003,29,Danny Tartabull,1,1,496,0.2,0
2003,30,Mitch Williams,1,0,496,0,0
2003,31,Todd Worrell,1,0,496,0,0
2003,32,Danny Jackson,1,0,496,0,0
2003,33,Mickey Tettleton,1,0,496,0,0
2002,1,Ozzie Smith,1,433,472,91.74,0
2002,2,Gary Carter,5,343,472,72.67,0
2002,3,Jim Rice,8,260,472,55.08,0
2002,4,Bruce Sutter,9,238,472,50.42,0
2002,5,Andre Dawson,1,214,472,45.34,0
2002,6,Rich Gossage,3,203,472,43.01,0
2002,7,Steve Garvey,10,134,472,28.39,0
2002,8,Tommy John,8,127,472,26.91,0
2002,9,Bert Blyleven,5,124,472,26.27,0
2002,10,Jim Kaat,14,109,472,23.09,0
2002,11,Jack Morris,3,97,472,20.55,0
2002,12,Don Mattingly,2,96,472,20.34,0
2002,13,Luis Tiant,15,85,472,18.01,0
2002,14,Alan Trammell,1,74,472,15.68,0
2002,15,Dale Murphy,4,70,472,14.83,0
2002,16,Dave Parker,6,66,472,13.98,0
2002,17,Dave Concepcion,9,56,472,11.86,0
2002,18,Keith Hernandez,7,29,472,6.14,0
2002,19,Ron Guidry,9,23,472,4.87,0
2002,20,Dave Stewart,2,23,472,4.87,0
2002,21,Frank Viola,1,2,472,0.42,0
2002,22,Mike Greenwell,1,2,472,0.42,0
2002,23,Tim Wallach,1,1,472,0.21,0
2002,24,Lenny Dykstra,1,1,472,0.21,0
2002,25,Mike Henneman,1,0,472,0,0
2002,26,Robby Thompson,1,0,472,0,0
2002,27,Jeff Russell,1,0,472,0,0
2002,28,Scott Sanderson,1,0,472,0,0
2001,1,Dave Winfield,1,435,515,84.47,0
2001,2,Kirby Puckett,1,423,515,82.14,0
2001,3,Gary Carter,4,334,515,64.85,0
2001,4,Jim Rice,7,298,515,57.86,0
2001,5,Bruce Sutter,8,245,515,47.57,0
2001,6,Rich Gossage,2,228,515,44.27,0
2001,7,Steve Garvey,9,176,515,34.17,0
2001,8,Tommy John,7,146,515,28.35,0
2001,9,Don Mattingly,1,145,515,28.16,0
2001,10,Jim Kaat,13,135,515,26.21,0
2001,11,Bert Blyleven,4,121,515,23.5,0
2001,12,Jack Morris,2,101,515,19.61,0
2001,13,Dale Murphy,3,93,515,18.06,0
2001,14,Dave Parker,5,84,515,16.31,0
2001,15,Dave Concepcion,8,74,515,14.37,0
2001,16,Luis Tiant,14,63,515,12.23,0
2001,17,Keith Hernandez,6,41,515,7.96,0
2001,18,Dave Stewart,1,38,515,7.38,0
2001,19,Ron Guidry,8,27,515,5.24,0
2001,20,Lou Whitaker,1,15,515,2.91,0
2001,21,Kirk Gibson,1,13,515,2.52,0
2001,22,Lance Parrish,1,9,515,1.75,0
2001,23,Tom Henke,1,6,515,1.17,0
2001,24,Dave Righetti,1,2,515,0.39,0
2001,25,Ron Darling,1,1,515,0.19,0
2001,26,Jose Rijo,1,1,515,0.19,1
2001,27,Jim Deshaies,1,1,515,0.19,0
2001,28,Steve Bedrosian,1,1,515,0.19,0
2001,29,Tom Browning,1,1,515,0.19,0
2001,30,John Kruk,1,1,515,0.19,0
2001,31,Howard Johnson,1,0,515,0,0
2001,32,Andy Van Slyke,1,0,515,0,0
2000,1,Carlton Fisk,2,397,499,79.56,0
2000,2,Tony Perez,9,385,499,77.15,0
2000,3,Jim Rice,6,257,499,51.5,0
2000,4,Gary Carter,3,248,499,49.7,0
2000,5,Bruce Sutter,7,192,499,38.48,0
2000,6,Rich Gossage,1,166,499,33.27,0
2000,7,Steve Garvey,8,160,499,32.06,0
2000,8,Tommy John,6,135,499,27.05,0
2000,9,Jim Kaat,12,125,499,25.05,0
2000,10,Dale Murphy,2,116,499,23.25,0
2000,11,Jack Morris,1,111,499,22.24,0
2000,12,Dave Parker,4,104,499,20.84,0
2000,13,Bert Blyleven,3,87,499,17.43,0
2000,14,Luis Tiant,13,86,499,17.23,0
2000,15,Dave Concepcion,7,67,499,13.43,0
2000,16,Keith Hernandez,5,52,499,10.42,0
2000,17,Ron Guidry,7,44,499,8.82,0
2000,18,Jeff Reardon,1,24,499,4.81,0
2000,19,Bob Boone,5,21,499,4.21,0
2000,20,Willie Wilson,1,10,499,2,0
2000,21,Rick Sutcliffe,1,9,499,1.8,0
2000,22,Kent Hrbek,1,5,499,1,0
2000,23,Charlie Hough,1,4,499,0.8,0
2000,24,Dave Henderson,1,2,499,0.4,0
2000,25,Steve Sax,1,2,499,0.4,0
2000,26,Bob Welch,1,1,499,0.2,0
2000,27,Bill Gullickson,1,1,499,0.2,0
2000,28,Lonnie Smith,1,1,499,0.2,0
2000,29,Bruce Hurst,1,1,499,0.2,0
2000,30,Hubie Brooks,1,0,499,0,0
1999,1,Nolan Ryan,1,491,497,98.79,0
1999,2,George Brett,1,488,497,98.19,0
1999,3,Robin Yount,1,385,497,77.46,0
1999,4,Carlton Fisk,1,330,497,66.4,0
1999,5,Tony Perez,8,302,497,60.76,0
1999,6,Gary Carter,2,168,497,33.8,0
1999,7,Steve Garvey,7,150,497,30.18,0
1999,8,Jim Rice,5,146,497,29.38,0
1999,9,Bruce Sutter,6,121,497,24.35,0
1999,10,Jim Kaat,11,100,497,20.12,0
1999,11,Dale Murphy,1,96,497,19.32,0
1999,12,Tommy John,5,93,497,18.71,0
1999,13,Dave Parker,3,80,497,16.1,0
1999,14,Minnie Minoso,15,73,497,14.69,0
1999,15,Bert Blyleven,2,70,497,14.08,0
1999,16,Dave Concepcion,6,59,497,11.87,0
1999,17,Luis Tiant,12,53,497,10.66,0
1999,18,Keith Hernandez,4,34,497,6.84,0
1999,19,Ron Guidry,6,31,497,6.24,0
1999,20,Bob Boone,4,27,497,5.43,0
1999,21,Mickey Lolich,15,26,497,5.23,0
1999,22,Dwight Evans,3,18,497,3.62,0
1999,23,George Bell,1,6,497,1.21,0
1999,24,John Candelaria,1,1,497,0.2,0
1999,25,Mike Witt,1,0,497,0,0
1999,26,Mike Boddicker,1,0,497,0,0
1999,27,Charlie Leibrandt,1,0,497,0,0
1999,28,Frank Tanana,1,0,497,0,0
1998,1,Don Sutton,5,386,473,81.61,0
1998,2,Tony Perez,7,321,473,67.86,0
1998,3,Ron Santo,15,204,473,43.13,0
1998,4,Jim Rice,4,203,473,42.92,0
1998,5,Gary Carter,1,200,473,42.28,0
1998,6,Steve Garvey,6,195,473,41.23,0
1998,7,Bruce Sutter,5,147,473,31.08,0
1998,8,Tommy John,4,129,473,27.27,0
1998,9,Jim Kaat,10,129,473,27.27,0
1998,10,Dave Parker,2,116,473,24.52,0
1998,11,Bert Blyleven,1,83,473,17.55,0
1998,12,Dave Concepcion,5,80,473,16.91,0
1998,13,Minnie Minoso,14,76,473,16.07,0
1998,14,Luis Tiant,11,62,473,13.11,0
1998,15,Keith Hernandez,3,51,473,10.78,0
1998,16,Dwight Evans,2,49,473,10.36,0
1998,17,Mickey Lolich,14,39,473,8.25,0
1998,18,Ron Guidry,5,37,473,7.82,0
1998,19,Bob Boone,3,26,473,5.5,0
1998,20,Jack Clark,1,7,473,1.48,0
1998,21,Pedro Guerrero,1,6,473,1.27,0
1998,22,Willie Randolph,1,5,473,1.06,0
1998,23,Carney Lansford,1,3,473,0.63,0
1998,24,Brian Downing,1,2,473,0.42,0
1998,25,Mike Flanagan,1,2,473,0.42,0
1998,26,Rick Dempsey,1,1,473,0.21,0
1997,1,Phil Niekro,5,380,473,80.34,0
1997,2,Don Sutton,4,346,473,73.15,0
1997,3,Tony Perez,6,312,473,65.96,0
1997,4,Ron Santo,14,186,473,39.32,0
1997,5,Jim Rice,3,178,473,37.63,0
1997,6,Steve Garvey,5,167,473,35.31,0
1997,7,Bruce Sutter,4,130,473,27.48,0
1997,8,Jim Kaat,9,107,473,22.62,0
1997,9,Joe Torre,15,105,473,22.2,0
1997,10,Tommy John,3,97,473,20.51,0
1997,11,Minnie Minoso,13,84,473,17.76,0
1997,12,Dave Parker,1,83,473,17.55,0
1997,13,Dick Allen,14,79,473,16.7,0
1997,14,Dave Concepcion,4,60,473,12.68,0
1997,15,Luis Tiant,10,53,473,11.21,0
1997,16,Keith Hernandez,2,45,473,9.51,0
1997,17,Mickey Lolich,13,34,473,7.19,0
1997,18,Ron Guidry,4,31,473,6.55,0
1997,19,Bob Boone,2,28,473,5.92,0
1997,20,Dwight Evans,1,28,473,5.92,0
1997,21,Graig Nettles,4,22,473,4.65,0
1997,22,Ken Griffey,1,22,473,4.65,0
1997,23,Fred Lynn,2,22,473,4.65,0
1997,24,Bobby Bonds,11,20,473,4.23,0
1997,25,Rusty Staub,7,18,473,3.81,0
1997,26,Mike Scott,1,2,473,0.42,0
1997,27,Rick Reuschel,1,2,473,0.42,0
1997,28,Garry Templeton,1,2,473,0.42,0
1997,29,Terry Kennedy,1,1,473,0.21,0
1997,30,Terry Puhl,1,1,473,0.21,0
1996,1,Phil Niekro,4,321,470,68.3,0
1996,2,Tony Perez,5,309,470,65.74,0
1996,3,Don Sutton,3,300,470,63.83,0
1996,4,Steve Garvey,4,175,470,37.23,0
1996,5,Ron Santo,13,174,470,37.02,0
1996,6,Tony Oliva,15,170,470,36.17,0
1996,7,Jim Rice,2,166,470,35.32,0
1996,8,Bruce Sutter,3,137,470,29.15,0
1996,9,Tommy John,2,102,470,21.7,0
1996,10,Jim Kaat,8,91,470,19.36,0
1996,11,Dick Allen,13,89,470,18.94,0
1996,12,Curt Flood,15,71,470,15.11,0
1996,13,Luis Tiant,9,64,470,13.62,0
1996,14,Dave Concepcion,3,63,470,13.4,0
1996,15,Minnie Minoso,12,62,470,13.19,0
1996,16,Vada Pinson,15,51,470,10.85,0
1996,17,Joe Torre,14,50,470,10.64,0
1996,18,Ron Guidry,3,37,470,7.87,0
1996,19,Graig Nettles,3,37,470,7.87,0
1996,20,Bob Boone,1,36,470,7.66,0
1996,21,Mickey Lolich,12,33,470,7.02,0
1996,22,Fred Lynn,1,26,470,5.53,0
1996,23,Bobby Bonds,10,24,470,5.11,0
1996,24,Rusty Staub,6,24,470,5.11,0
1996,25,Keith Hernandez,1,24,470,5.11,0
1996,26,Frank White,1,18,470,3.83,0
1996,27,Dan Quisenberry,1,18,470,3.83,0
1996,28,Bill Buckner,1,10,470,2.13,0
1996,29,John Tudor,1,2,470,0.43,0
1996,30,Jerry Reuss,1,2,470,0.43,0
1996,31,Chet Lemon,1,1,470,0.21,0
1996,32,Jeffrey Leonard,1,0,470,0,0
1996,33,Claudell Washington,1,0,470,0,0
1996,34,Johnny Ray,1,0,470,0,0
1996,35,Bob Knepper,1,0,470,0,0
1995,1,Mike Schmidt,1,444,460,96.52,0
1995,2,Phil Niekro,3,286,460,62.17,0
1995,3,Don Sutton,2,264,460,57.39,0
1995,4,Tony Perez,4,259,460,56.3,0
1995,5,Steve Garvey,3,196,460,42.61,0
1995,6,Tony Oliva,14,149,460,32.39,0
1995,7,Ron Santo,12,139,460,30.22,0
1995,8,Bruce Sutter,2,137,460,29.78,0
1995,9,Jim Rice,1,137,460,29.78,0
1995,10,Jim Kaat,7,100,460,21.74,0
1995,11,Tommy John,1,98,460,21.3,0
1995,12,Dick Allen,12,72,460,15.65,0
1995,13,Minnie Minoso,11,66,460,14.35,0
1995,14,Curt Flood,14,59,460,12.83,0
1995,15,Joe Torre,13,50,460,10.87,0
1995,16,Luis Tiant,8,45,460,9.78,0
1995,17,Dave Concepcion,2,43,460,9.35,0
1995,18,Bobby Bonds,9,35,460,7.61,0
1995,19,Vada Pinson,14,32,460,6.96,0
1995,20,Thurman Munson,15,30,460,6.52,0
1995,21,Graig Nettles,2,28,460,6.09,0
1995,22,Vida Blue,4,26,460,5.65,0
1995,23,Mickey Lolich,11,26,460,5.65,0
1995,24,Ron Guidry,2,25,460,5.43,0
1995,25,Rusty Staub,5,23,460,5,0
1995,26,George Foster,4,19,460,4.13,0
1995,27,Don Baylor,2,12,460,2.61,0
1995,28,Darrell Evans,1,8,460,1.74,0
1995,29,Buddy Bell,1,8,460,1.74,0
1995,30,Kent Tekulve,1,6,460,1.3,0
